CharID,Phase,Branch,Count,Face,Content
Boxer,1,0,4,0,돼지들 덕이 크다고 생각해. 우리만으론 해내지 못했을 거야.
Animals,1,0,5,0,"(맞아, 맞아) (그런 것 같아.)"
Snowball,1,0,6,0,그래서 우리들이 건강하고 튼튼해야 오늘처럼 이길 수 있을거야.
Snowball,1,0,7,0,이해해주리라 믿어.
Snowball,1,0,8,0,그럼 이제 일들 하러 가자.
Napoleon,1,2,9,0,교육을 시작한 지 몇일이 지났지만 말하는 것 이외에는 전혀 머릿속에 뭘 넣으려고 하지 않잖아!
Napoleon,1,2,10,0,이미 적당히 나이든 동물들은 새로운 걸 접하려 하지않아! 어린 녀석들 부터 철저하게 교육이 필요하겠어.
Squealer,1,2,11,0,"이봐 나폴레옹, 이제 곧 있으면 암컷 개가 새끼를 낳을 때 일거야 …. 그녀석들은 어때?"
Napoleon,1,2,12,0,좋아. 그녀석들부터 교육을 해봐야 겠구만.
Snowball,2,0,1,0,"교육을 시작했지만, 별다른 소득이 없어… 동물들은 늘어나고, 식량을 빠르게 줄고... 다른 방도를 찾아야겠어... "
Snowball,2,0,2,0,그래.. 저번에 책에서 본 그 풍차를 지으면 농장에는 전기와 식량이 좀 더 원할하게 생산될거야.
Snowball,2,0,4,0,"동지 여러분, 지금 우리 농장은 힘든 시기에 직면했습니다. 하지만 저를 믿고 여러분들이 힘을 실어준다면 보다 나은 미래를 약속할 수 있습니다."
Snowball,2,0,5,0,그건 바로… 풍차입니다. 풍차만 지어진다면 우리 농장에 전기와 더 많은 식량은 약속할 수 있습니다.
Napoleon,2,0,6,0,미쳤구만? 이 한 겨울에 그런 대공사라니? 
Snowball,2,0,7,0,하지만 이 방법이 최선입니다! 더 이상 지체하면 우리 농장에는 미래가 없습니다!
Napoleon,2,0,8,0,미쳤구만! 풍차를 지을 자원도 그동안의 식량도 부족한데 풍차를 짓겠다고? 어리석은 짓이야!
Napoleon,2,0,9,0,그 동안 농사에 더 집중해서 조금이라도 식량을 더 확보하는게 나아!
Snowball,2,0,10,0,빨리 풍차가 완성된다면 주 3일만 일해도 충분한 식량이 공급 가능합니다!
Napoleon,2,0,11,0,그렇게 빨리 풍차를 완성 할 순 없어! 설마 인간들인가? 식량이 부족하다고 인간들의 손을 빌리려 하다니!
Snowball,2,0,12,0,아닙니다! 저는 그저….
Napoleon,2,0,13,0,그만! 더 이상 말하지 말라 이 반역자여! 혁명으로 얻어낸 이 농장에 다시 인간들을 들이여 하다니! 즉결 심판이다!
Dogs,2,0,14,0,컹컹! 으르르르릉~!
Napoleon,2,0,15,0,저기 저 미친 돼지 녀석을 이 농장 밖으로 쫓아내 버려!
Snowball,2,0,16,0,이런… 이렇게.. 이 농장에서 도망쳐야 하다니!
Narration,2,0,17,0,한 차례 소란이 지난 후… 나폴레옹은 외양간의 단상에 올라선다.
Napoleon,2,0,18,0,"동지 여러분, 저기 저 반역자 스노볼은 인간을 다시 이 농장에 불러서 풍차를 짓게 하려는 계획이였습니다!"
Animals,2,0,19,0,(웅성웅성)
Dogs,2,0,20,0,으르르르르릉!!
Animals,2,0,21,0,(......)
Boxer,2,0,22,0,난 나폴레옹 믿어 그와 나는 농장을 위해 일할거야 
Animals,2,0,23,0,(웅성웅성)
Squealer,2,0,24,0,동지 여러분. 상황을 이해하긴 어렵겠지만 저기 단상위의 나폴레옹은 진심으로 이 농장의 동물들을 위해 일하고 있었습니다. 저 개들도 인간의 위협에 대비해 준비해뒀던 것이구요.
Squealer,2,0,25,0,저는 이미 알고 있었습니다. 나폴레옹이 풍차를 처음 계획했으나 스노볼이 풍차 계획을 빼앗고 인간들을 어떻게 불러 내려고 하는지 나폴레옹과 함께 기다렸습니다.
Squealer,2,0,26,0,그리고 오늘에서야 저 반역자 놈이 사악한 계획을 말하니 우리는 이 때를 노려 반역자 놈을 우리 농장에서 쫓아낸 것입니다.
Squealer,2,0,27,0,우리는 우리만의 힘으로 풍차를 짓게 될 것입니다.
Narration,2,0,28,0,(얼마 뒤)
Napoleon,2,0,29,0,"동지 여러분, 우리가 만들고 있는 저 풍차를 더 빨리 그리고 안전하게 짓기 위하여 인간과의 거래를 하기로 결정했습니다."
Animals,2,0,30,0,(웅성웅성)
Benjamin,2,0,31,0,"이보게 나폴레옹, 인간과는 더 이상 엮이지 않기로 한거 아니였나?"
Squealer,2,0,32,0,벤자민! 우리는 그들이 만든 물건으로 우리의 풍차를 더욱 완벽하고 안전하게 만들 수 있기에 거래를 하기로 결심한 것입니다. 
Squealer,2,0,33,0,그리고 '인간과의 거래를 하지 말자'라는 저희의 계명이 있습니까? 
Squealer,2,0,34,0,없습니다 우리 돼지들은 농장과 여러분들의 이익을 위해 일을 할 뿐입니다.
